  n, heap_cmp, heap_swaps, heap_time, bubble_cmp, bubble_swaps, bubble_time
  0,        0,          0,         1,          0,            0,           0
  1,        0,          0,         0,          0,            0,           0
  2,        1,          0,         3,          0,            0,           0
  3,        3,          0,         3,          1,            0,           2
  4,        6,          0,         5,          3,            0,           3
  5,       11,          0,         7,          6,            0,           4
  6,       15,          0,         9,         10,            0,           6
  7,       19,          0,        10,         15,            0,           9
  8,       27,          0,        14,         21,            0,          12
  9,       33,          0,        16,         28,            0,          18
 10,       37,          0,        18,         36,            0,          22
 11,       46,          0,        22,         45,            0,          29
 12,       51,          0,        25,         55,            0,          34
 13,       56,          0,        27,         66,            0,          40
 14,       61,          0,        39,         78,            0,          49
 15,       68,          0,        32,         91,            0,          54
 16,       80,          0,        38,        105,            0,          62
 17,       90,          0,        42,        120,            0,          69
 18,       99,          0,        46,        136,            0,          78
 19,      106,          0,        49,        153,            0,          88
 20,      116,          0,        54,        171,            0,          96
 21,      124,          0,        56,        190,            0,         113
 22,      127,          0,        58,        210,            0,         123
 23,      137,          0,        62,        231,            0,         137
 24,      145,          0,        66,        253,            0,         151
 25,      154,          0,        69,        276,            0,         162
 26,      164,          0,        77,        300,            0,         178
 27,      170,          0,        76,        325,            0,         191
 28,      179,          0,        80,        351,            0,         208
 29,      186,          0,        82,        378,            0,         223
 30,      194,          0,        86,        406,            0,         231
 31,      202,          0,        90,        435,            0,         246
 32,      217,          0,       104,        465,            0,         262
 33,      226,          0,       101,        496,            0,         276
 34,      242,          0,       107,        528,            0,         295
 35,      253,          0,       111,        561,            0,         316
 36,      260,          0,       114,        595,            0,         335
 37,      268,          0,       117,        630,            0,         353
 38,      275,          0,       120,        666,            0,         379
 39,      288,          0,       126,        703,            0,         488
 40,      301,          0,       132,        741,            0,         434
 41,      310,          0,       137,        780,            0,         444
 42,      320,          0,       143,        820,            0,         471
 43,      335,          0,       148,        861,            0,         495
 44,      347,          0,       153,        903,            0,         515
 45,      357,          0,       158,        946,            0,         581
 46,      365,          0,       307,        990,            0,         613
 47,      375,          0,       164,       1035,            0,         584
 48,      389,          0,       170,       1081,            0,         607
 49,      400,          0,       174,       1128,            0,         641
 50,      409,          0,       178,       1176,            0,         832
 51,      417,          0,       182,       1225,            0,         872
 52,      432,          0,       196,       1275,            0,         849
 53,      443,          0,       240,       1326,            0,         813
 54,      454,          0,       198,       1378,            0,         771
 55,      462,          0,       201,       1431,            0,         804
 56,      472,          0,       207,       1485,            0,         849
 57,      479,          0,       209,       1540,            0,         877
 58,      497,          0,       260,       1596,            0,         911
 59,      514,          0,       222,       1653,            0,         942
 60,      521,          0,       229,       1711,            0,         995
 61,      534,          0,       235,       1770,            0,        1016
 62,      543,          0,       264,       1830,            0,        1043
 63,      553,          0,       237,       1891,            0,        1073
 64,      559,          0,       240,       1953,            0,        1116
 65,      578,          0,       248,       2016,            0,        1121
 66,      588,          0,       252,       2080,            0,        1376
 67,      594,          0,       260,       2145,            0,        1255
 68,      617,          0,       267,       2211,            0,        1240
 69,      628,          0,       270,       2278,            0,        1331
 70,      638,          0,       280,       2346,            0,        1343
 71,      653,          0,       283,       2415,            0,        1449
 72,      669,          0,       286,       2485,            0,        1686
 73,      675,          0,       370,       2556,            0,        1551
 74,      682,          0,       292,       2628,            0,        1531
 75,      702,          0,       302,       2701,            0,        1635
 76,      707,          0,       309,       2775,            0,        1598
 77,      725,          0,       310,       2850,            0,        1622
 78,      732,          0,       313,       2926,            0,        1723
 79,      753,          0,       321,       3003,            0,        1696
 80,      760,          0,       325,       3081,            0,        1754
 81,      777,          0,       331,       3160,            0,        1798
 82,      791,          0,       341,       3240,            0,        2134
 83,      798,          0,       423,       3321,            0,        2029
 84,      809,          0,       351,       3403,            0,        1903
 85,      827,          0,       353,       3486,            0,        1986
 86,      835,          0,       421,       3570,            0,        1989
 87,      858,          0,       365,       3655,            0,        2064
 88,      862,          0,       369,       3741,            0,        2068
 89,      877,          0,       373,       3828,            0,        2356
 90,      892,          0,       383,       3916,            0,        2189
 91,      906,          0,       386,       4005,            0,        2239
 92,      919,          0,       391,       4095,            0,        2317
 93,      925,          0,       400,       4186,            0,        2715
 94,      942,          0,       401,       4278,            0,        2379
 95,      958,          0,       413,       4371,            0,        2396
 96,      969,          0,       416,       4465,            0,        2434
 97,      985,          0,       422,       4560,            0,        2540
 98,      997,          0,       440,       4656,            0,        2545
 99,     1011,          0,       431,       4753,            0,        2622
100,     1019,          0,       611,       4851,            0,        2682
