   n, heap_cmp, heap_swaps, heap_time, bubble_cmp, bubble_swaps, bubble_time
   0,        0,          0,         1,          0,            0,           1
   1,        0,          0,         1,          0,            0,           0
   2,        1,          0,         5,          0,            0,           0
   3,        3,          0,         6,          1,            0,           3
   4,        7,          0,        10,          3,            0,           6
   5,       12,          0,        13,          6,            0,          21
   6,       16,          0,        17,         10,            0,          14
   7,       19,          0,        20,         15,            0,          19
   8,       27,          0,        27,         21,            0,          32
   9,       35,          0,        69,         28,            0,          53
  10,       41,          0,        39,         36,            0,          44
  11,       48,          0,        46,         45,            0,          51
  12,       57,          0,        56,         55,            0,          60
  13,       65,          0,        59,         66,            0,          69
  14,       69,          0,        66,         78,            0,          76
  15,       73,          0,        68,         91,            0,         106
  16,       82,          0,        86,        105,            0,         146
  17,       87,          0,       133,        120,            0,         203
  18,       97,          0,        68,        136,            0,         153
  19,      105,          0,        98,        153,            0,         171
  20,      109,          0,        98,        171,            0,          95
  21,      119,          0,        57,        190,            0,         105
  22,      127,          0,        60,        210,            0,         118
  23,      137,          0,        73,        231,            0,         127
  24,      151,          0,        70,        253,            0,         135
  25,      162,          0,        73,        276,            0,         151
  26,      170,          0,        76,        300,            0,         166
  27,      177,          0,        85,        325,            0,         176
  28,      188,          0,        82,        351,            0,         214
  29,      199,          0,        88,        378,            0,         346
  30,      205,          0,       172,        406,            0,         284
  31,      214,          0,       128,        435,            0,         247
  32,      225,          0,       170,        465,            0,         533
  33,      232,          0,       103,        496,            0,         316
  34,      240,          0,       103,        528,            0,         287
  35,      251,          0,       106,        561,            0,         367
  36,      260,          0,       124,        595,            0,         360
  37,      269,          0,       116,        630,            0,         388
  38,      283,          0,       188,        666,            0,         368
  39,      295,          0,       124,        703,            0,         495
  40,      300,          0,       129,        741,            0,         448
  41,      306,          0,       130,        780,            0,         431
  42,      320,          0,       138,        820,            0,         494
  43,      335,          0,       144,        861,            0,         581
  44,      335,          0,       143,        903,            0,         501
  45,      349,          0,       146,        946,            0,         558
  46,      360,          0,       151,        990,            0,         584
  47,      376,          0,       157,       1035,            0,         600
  48,      391,          0,       163,       1081,            0,         622
  49,      404,          0,       206,       1128,            0,         621
  50,      413,          0,       173,       1176,            0,         683
  51,      429,          0,       178,       1225,            0,         705
  52,      437,          0,       183,       1275,            0,         736
  53,      452,          0,       218,       1326,            0,         759
  54,      471,          0,       204,       1378,            0,         765
  55,      475,          0,       225,       1431,            0,        1026
  56,      484,          0,       216,       1485,            0,         891
  57,      487,          0,       252,       1540,            0,         870
  58,      508,          0,       211,       1596,            0,         894
  59,      518,          0,       215,       1653,            0,         915
  60,      526,          0,       219,       1711,            0,         952
  61,      537,          0,       264,       1770,            0,         959
  62,      542,          0,       225,       1830,            0,        1035
  63,      542,          0,       224,       1891,            0,        1130
  64,      558,          0,       275,       1953,            0,        1072
  65,      574,          0,       239,       2016,            0,        1096
  66,      590,          0,       246,       2080,            0,        1133
  67,      606,          0,       268,       2145,            0,        1248
  68,      617,          0,       492,       2211,            0,        1194
  69,      629,          0,       261,       2278,            0,        1233
  70,      637,          0,       305,       2346,            0,        1257
  71,      652,          0,       270,       2415,            0,        1455
  72,      665,          0,       295,       2485,            0,        1351
  73,      682,          0,       298,       2556,            0,        1515
  74,      693,          0,       314,       2628,            0,        1537
  75,      706,          0,       336,       2701,            0,        1669
  76,      716,          0,       324,       2775,            0,        1503
  77,      728,          0,       346,       2850,            0,        1690
  78,      749,          0,       379,       2926,            0,        1590
  79,      755,          0,       359,       3003,            0,        1623
  80,      758,          0,       358,       3081,            0,        1800
  81,      778,          0,       320,       3160,            0,        1756
  82,      786,          0,       324,       3240,            0,        1800
  83,      810,          0,       332,       3321,            0,        1847
  84,      826,          0,       380,       3403,            0,        2058
  85,      835,          0,       344,       3486,            0,        1939
  86,      846,          0,       347,       3570,            0,        2018
  87,      862,          0,       429,       3655,            0,        2021
  88,      864,          0,       355,       3741,            0,        2076
  89,      870,          0,       397,       3828,            0,        2124
  90,      899,          0,       369,       3916,            0,        2236
  91,      901,          0,       388,       4005,            0,        2193
  92,      918,          0,       388,       4095,            0,        2237
  93,      928,          0,       389,       4186,            0,        2291
  94,      941,          0,       395,       4278,            0,        2334
  95,      955,          0,       400,       4371,            0,        2390
  96,      967,          0,       406,       4465,            0,        2448
  97,      990,          0,       417,       4560,            0,        2490
  98,     1003,          0,       437,       4656,            0,        2549
  99,     1022,          0,       431,       4753,            0,        2585
 100,     1035,          0,       433,       4851,            0,        2638
 101,     1049,          0,       437,       4950,            0,        2685
 102,     1057,          0,       442,       5050,            0,        2771
 103,     1075,          0,       453,       5151,            0,        2802
 104,     1084,          0,       457,       5253,            0,        2875
 105,     1092,          0,       459,       5356,            0,        2917
 106,     1107,          0,       497,       5460,            0,        3003
 107,     1121,          0,       470,       5565,            0,        3027
 108,     1133,          0,       477,       5671,            0,        3066
 109,     1144,          0,       481,       5778,            0,        3108
 110,     1164,          0,       488,       5886,            0,        3178
 111,     1171,          0,       487,       5995,            0,        3224
 112,     1192,          0,       503,       6105,            0,        3306
 113,     1192,          0,       602,       6216,            0,        3355
 114,     1215,          0,       513,       6328,            0,        3414
 115,     1227,          0,       563,       6441,            0,        3475
 116,     1254,          0,       527,       6555,            0,        3553
 117,     1256,          0,       522,       6670,            0,        3612
 118,     1277,          0,       533,       6786,            0,        3690
 119,     1281,          0,       540,       6903,            0,        3744
 120,     1311,          0,       549,       7021,            0,        3810
 121,     1316,          0,       551,       7140,            0,        3900
 122,     1329,          0,       559,       7260,            0,        3956
 123,     1342,          0,       566,       7381,            0,        4036
 124,     1346,          0,       564,       7503,            0,        4067
 125,     1362,          0,       576,       7626,            0,        4160
 126,     1367,          0,       576,       7750,            0,        4202
 127,     1392,          0,       585,       7875,            0,        4281
 128,     1404,          0,       600,       8001,            0,        4338
 129,     1401,          0,       585,       8128,            0,        4397
 130,     1424,          0,       603,       8256,            0,        4479
 131,     1428,          0,       598,       8385,            0,        4549
 132,     1440,          0,       598,       8515,            0,        4634
 133,     1463,          0,       609,       8646,            0,        4715
 134,     1465,          0,       612,       8778,            0,        4800
 135,     1494,          0,       618,       8911,            0,        4855
 136,     1503,          0,       628,       9045,            0,        4933
 137,     1514,          0,       630,       9180,            0,        5010
 138,     1517,          0,       630,       9316,            0,        5100
 139,     1539,          0,       640,       9453,            0,        5098
 140,     1555,          0,       632,       9591,            0,        5103
 141,     1563,          0,       635,       9730,            0,        5159
 142,     1586,          0,       643,       9870,            0,        5309
 143,     1597,          0,       649,      10011,            0,        5358
 144,     1607,          0,       725,      10153,            0,        5583
 145,     1639,          0,       665,      10296,            0,        5470
 146,     1636,          0,       666,      10440,            0,        5537
 147,     1672,          0,       680,      10585,            0,        5621
 148,     1676,          0,       679,      10731,            0,        5713
